Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al-Farouq Aminu,SF,20.0,81.0,1452.0,160.0,406.0,0.394,45.0,143.0,0.315,115.0,263.0,0.437,0.45,92.0,119.0,0.773,75.0,192.0,267.0,60.0,59.0,25.0,103.0,121.0,457.0
Lou Amundson,PF,28.0,46.0,691.0,83.0,183.0,0.454,0.0,0.0,0.0,83.0,183.0,0.454,0.454,34.0,87.0,0.391,81.0,104.0,185.0,17.0,14.0,33.0,24.0,87.0,200.0
Chris Andersen,C,32.0,45.0,732.0,82.0,137.0,0.599,0.0,1.0,0.0,82.0,136.0,0.603,0.599,86.0,135.0,0.637,75.0,144.0,219.0,20.0,23.0,58.0,25.0,79.0,250.0
David Andersen,PF,30.0,40.0,373.0,56.0,121.0,0.463,8.0,23.0,0.348,48.0,98.0,0.49,0.496,14.0,22.0,0.636,20.0,64.0,84.0,13.0,5.0,9.0,22.0,40.0,134.0
James Anderson,SF,21.0,26.0,286.0,31.0,81.0,0.383,18.0,46.0,0.391,13.0,35.0,0.371,0.494,14.0,18.0,0.778,2.0,21.0,23.0,18.0,3.0,6.0,13.0,24.0,94.0
Ryan Anderson,PF,22.0,64.0,1424.0,226.0,525.0,0.43,134.0,341.0,0.393,92.0,184.0,0.5,0.558,95.0,117.0,0.812,129.0,226.0,355.0,52.0,30.0,38.0,49.0,137.0,681.0
Carmelo Anthony,SF,26.0,77.0,2751.0,684.0,1503.0,0.455,95.0,251.0,0.378,589.0,1252.0,0.47,0.487,507.0,605.0,0.838,118.0,445.0,563.0,221.0,68.0,46.0,206.0,224.0,1970.0
Joel Anthony,C,28.0,75.0,1463.0,53.0,99.0,0.535,0.0,0.0,0.0,53.0,99.0,0.535,0.535,47.0,73.0,0.644,104.0,162.0,266.0,24.0,10.0,93.0,36.0,194.0,153.0
Gilbert Arenas,PG,29.0,70.0,1796.0,269.0,734.0,0.366,97.0,327.0,0.297,172.0,407.0,0.423,0.433,120.0,153.0,0.784,22.0,167.0,189.0,274.0,74.0,21.0,177.0,188.0,755.0
Trevor Ariza,SF,25.0,75.0,2600.0,303.0,762.0,0.398,82.0,271.0,0.303,221.0,491.0,0.45,0.451,138.0,197.0,0.701,61.0,347.0,408.0,162.0,120.0,31.0,118.0,180.0,826.0
Hilton Armstrong,C,26.0,53.0,488.0,37.0,76.0,0.487,2.0,4.0,0.5,35.0,72.0,0.486,0.5,16.0,33.0,0.485,42.0,89.0,131.0,14.0,18.0,21.0,28.0,84.0,92.0
Carlos Arroyo,PG,31.0,64.0,1185.0,120.0,273.0,0.44,31.0,69.0,0.449,89.0,204.0,0.436,0.496,39.0,47.0,0.83,20.0,83.0,103.0,125.0,21.0,1.0,60.0,71.0,310.0
Darrell Arthur,PF,22.0,80.0,1609.0,310.0,624.0,0.497,0.0,6.0,0.0,310.0,618.0,0.502,0.497,109.0,134.0,0.813,115.0,227.0,342.0,53.0,52.0,63.0,88.0,228.0,729.0
Ömer Aşık,C,24.0,82.0,989.0,78.0,141.0,0.553,0.0,0.0,0.0,78.0,141.0,0.553,0.553,73.0,145.0,0.503,112.0,194.0,306.0,32.0,20.0,56.0,64.0,153.0,229.0
D.J. Augustin,PG,23.0,82.0,2757.0,399.0,958.0,0.416,111.0,333.0,0.333,288.0,625.0,0.461,0.474,269.0,297.0,0.906,38.0,187.0,225.0,498.0,54.0,3.0,155.0,152.0,1178.0
Luke Babbitt,SF,21.0,24.0,137.0,15.0,55.0,0.273,3.0,16.0,0.188,12.0,39.0,0.308,0.3,3.0,9.0,0.333,6.0,24.0,30.0,6.0,2.0,2.0,8.0,15.0,36.0
Renaldo Balkman,SF,26.0,8.0,62.0,6.0,13.0,0.462,1.0,2.0,0.5,5.0,11.0,0.455,0.5,3.0,4.0,0.75,2.0,5.0,7.0,2.0,4.0,2.0,1.0,15.0,16.0
Marcus Banks,PG,29.0,3.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,8.0,0.75,0.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,6.0
Leandro Barbosa,SG,28.0,58.0,1395.0,294.0,653.0,0.45,72.0,213.0,0.338,222.0,440.0,0.505,0.505,109.0,137.0,0.796,14.0,85.0,99.0,119.0,50.0,6.0,84.0,112.0,769.0
J.J. Barea,PG,26.0,81.0,1669.0,285.0,649.0,0.439,66.0,189.0,0.349,219.0,460.0,0.476,0.49,133.0,157.0,0.847,29.0,130.0,159.0,317.0,30.0,1.0,136.0,136.0,769.0
Andrea Bargnani,C,25.0,66.0,2353.0,525.0,1173.0,0.448,77.0,223.0,0.345,448.0,950.0,0.472,0.48,287.0,350.0,0.82,74.0,269.0,343.0,119.0,34.0,46.0,152.0,160.0,1414.0
Matt Barnes,SF,30.0,53.0,1020.0,131.0,279.0,0.47,34.0,107.0,0.318,97.0,172.0,0.564,0.53,60.0,77.0,0.779,73.0,155.0,228.0,71.0,39.0,22.0,58.0,127.0,356.0
Earl Barron,C,29.0,21.0,305.0,32.0,99.0,0.323,0.0,0.0,0.0,32.0,99.0,0.323,0.323,15.0,24.0,0.625,32.0,44.0,76.0,11.0,8.0,6.0,16.0,46.0,79.0
Brandon Bass,PF,25.0,76.0,1980.0,332.0,645.0,0.515,0.0,2.0,0.0,332.0,643.0,0.516,0.515,190.0,233.0,0.815,134.0,290.0,424.0,57.0,27.0,52.0,97.0,159.0,854.0
Tony Battie,C,34.0,38.0,377.0,45.0,96.0,0.469,2.0,3.0,0.667,43.0,93.0,0.462,0.479,8.0,14.0,0.571,17.0,82.0,99.0,12.0,5.0,15.0,12.0,59.0,100.0
Shane Battier,SF,32.0,82.0,2375.0,229.0,509.0,0.45,102.0,267.0,0.382,127.0,242.0,0.525,0.55,64.0,93.0,0.688,90.0,283.0,373.0,185.0,69.0,81.0,79.0,158.0,624.0
Nicolas Batum,SF,22.0,80.0,2522.0,367.0,807.0,0.455,118.0,342.0,0.345,249.0,465.0,0.535,0.528,138.0,164.0,0.841,109.0,252.0,361.0,123.0,68.0,49.0,83.0,194.0,990.0
Jerryd Bayless,PG,22.0,71.0,1496.0,218.0,517.0,0.422,49.0,146.0,0.336,169.0,371.0,0.456,0.469,166.0,206.0,0.806,26.0,139.0,165.0,266.0,38.0,5.0,127.0,149.0,651.0
Michael Beasley,SF,22.0,73.0,2361.0,561.0,1246.0,0.45,60.0,164.0,0.366,501.0,1082.0,0.463,0.474,219.0,291.0,0.753,118.0,291.0,409.0,158.0,54.0,52.0,195.0,222.0,1401.0
Rodrigue Beaubois,PG,22.0,28.0,496.0,94.0,223.0,0.422,25.0,83.0,0.301,69.0,140.0,0.493,0.478,23.0,30.0,0.767,7.0,45.0,52.0,64.0,20.0,8.0,47.0,76.0,236.0
Marco Belinelli,SG,24.0,80.0,1957.0,302.0,691.0,0.437,134.0,324.0,0.414,168.0,367.0,0.458,0.534,98.0,125.0,0.784,17.0,134.0,151.0,92.0,38.0,6.0,77.0,146.0,836.0
Charlie Bell,SG,31.0,19.0,171.0,12.0,43.0,0.279,6.0,21.0,0.286,6.0,22.0,0.273,0.349,2.0,4.0,0.5,6.0,12.0,18.0,13.0,6.0,1.0,6.0,13.0,32.0
Raja Bell,SG,34.0,68.0,2097.0,191.0,467.0,0.409,68.0,193.0,0.352,123.0,274.0,0.449,0.482,91.0,102.0,0.892,31.0,145.0,176.0,118.0,56.0,14.0,63.0,169.0,541.0
Mike Bibby,PG,32.0,80.0,2285.0,248.0,576.0,0.431,153.0,348.0,0.44,95.0,228.0,0.417,0.563,39.0,62.0,0.629,17.0,178.0,195.0,265.0,50.0,9.0,101.0,175.0,688.0
Andris Biedriņš,C,24.0,59.0,1397.0,142.0,266.0,0.534,0.0,0.0,0.0,142.0,266.0,0.534,0.534,10.0,31.0,0.323,145.0,281.0,426.0,60.0,52.0,52.0,57.0,198.0,294.0
Chauncey Billups,PG,34.0,72.0,2310.0,339.0,794.0,0.427,146.0,363.0,0.402,193.0,431.0,0.448,0.519,384.0,419.0,0.916,25.0,165.0,190.0,387.0,71.0,14.0,177.0,146.0,1208.0
DeJuan Blair,PF,21.0,81.0,1734.0,292.0,583.0,0.501,0.0,2.0,0.0,292.0,581.0,0.503,0.501,90.0,137.0,0.657,215.0,350.0,565.0,77.0,95.0,42.0,113.0,213.0,674.0
Steve Blake,PG,30.0,79.0,1581.0,110.0,306.0,0.359,73.0,193.0,0.378,37.0,113.0,0.327,0.479,26.0,30.0,0.867,19.0,137.0,156.0,170.0,40.0,3.0,73.0,99.0,319.0
Andray Blatche,PF,24.0,64.0,2172.0,426.0,957.0,0.445,4.0,18.0,0.222,422.0,939.0,0.449,0.447,220.0,283.0,0.777,183.0,343.0,526.0,144.0,98.0,51.0,172.0,182.0,1076.0
Eric Bledsoe,PG,21.0,81.0,1841.0,206.0,486.0,0.424,32.0,116.0,0.276,174.0,370.0,0.47,0.457,99.0,133.0,0.744,68.0,155.0,223.0,289.0,92.0,26.0,194.0,130.0,543.0
Keith Bogans,SG,30.0,82.0,1461.0,124.0,307.0,0.404,90.0,237.0,0.38,34.0,70.0,0.486,0.55,21.0,32.0,0.656,19.0,129.0,148.0,101.0,38.0,9.0,41.0,113.0,359.0
Andrew Bogut,C,26.0,65.0,2297.0,367.0,742.0,0.495,0.0,4.0,0.0,367.0,738.0,0.497,0.495,96.0,217.0,0.442,199.0,521.0,720.0,131.0,47.0,168.0,125.0,217.0,830.0
Matt Bonner,PF,30.0,66.0,1432.0,172.0,371.0,0.464,105.0,230.0,0.457,67.0,141.0,0.475,0.605,32.0,43.0,0.744,60.0,179.0,239.0,60.0,26.0,21.0,27.0,110.0,481.0
Trevor Booker,PF,23.0,65.0,1063.0,139.0,253.0,0.549,0.0,1.0,0.0,139.0,252.0,0.552,0.549,68.0,101.0,0.673,98.0,153.0,251.0,35.0,29.0,42.0,38.0,115.0,346.0
Carlos Boozer,C,29.0,59.0,1882.0,431.0,845.0,0.51,0.0,0.0,0.0,431.0,845.0,0.51,0.51,171.0,244.0,0.701,130.0,435.0,565.0,145.0,45.0,18.0,149.0,186.0,1033.0
Chris Bosh,PF,26.0,77.0,2795.0,524.0,1056.0,0.496,6.0,25.0,0.24,518.0,1031.0,0.502,0.499,384.0,471.0,0.815,141.0,500.0,641.0,144.0,59.0,49.0,138.0,172.0,1438.0
Earl Boykins,PG,34.0,57.0,862.0,156.0,352.0,0.443,27.0,71.0,0.38,129.0,281.0,0.459,0.482,69.0,82.0,0.841,15.0,40.0,55.0,141.0,38.0,3.0,52.0,43.0,408.0
Craig Brackins,PF,23.0,3.0,33.0,4.0,16.0,0.25,0.0,5.0,0.0,4.0,11.0,0.364,0.25,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,8.0
Avery Bradley,PG,20.0,31.0,162.0,23.0,67.0,0.343,0.0,5.0,0.0,23.0,62.0,0.371,0.343,6.0,12.0,0.5,4.0,13.0,17.0,12.0,9.0,0.0,16.0,20.0,52.0
Elton Brand,PF,31.0,81.0,2809.0,502.0,981.0,0.512,0.0,1.0,0.0,502.0,980.0,0.512,0.512,213.0,273.0,0.78,237.0,439.0,676.0,120.0,92.0,106.0,101.0,244.0,1217.0
Corey Brewer,SF-SG,24.0,69.0,1510.0,193.0,488.0,0.395,30.0,112.0,0.268,163.0,376.0,0.434,0.426,136.0,192.0,0.708,57.0,118.0,175.0,89.0,100.0,16.0,87.0,159.0,552.0
Ronnie Brewer,SG,25.0,81.0,1781.0,205.0,427.0,0.48,6.0,27.0,0.222,199.0,400.0,0.498,0.487,87.0,133.0,0.654,55.0,207.0,262.0,140.0,106.0,22.0,55.0,82.0,503.0
Jon Brockman,C,23.0,63.0,677.0,48.0,94.0,0.511,0.0,0.0,0.0,48.0,94.0,0.511,0.511,40.0,59.0,0.678,74.0,110.0,184.0,18.0,14.0,3.0,24.0,119.0,136.0
Aaron Brooks,PG,26.0,59.0,1284.0,220.0,587.0,0.375,70.0,236.0,0.297,150.0,351.0,0.427,0.434,124.0,140.0,0.886,20.0,58.0,78.0,233.0,34.0,3.0,99.0,115.0,634.0
Derrick Brown,SF,23.0,49.0,576.0,74.0,131.0,0.565,5.0,10.0,0.5,69.0,121.0,0.57,0.584,32.0,60.0,0.533,41.0,58.0,99.0,33.0,20.0,10.0,35.0,59.0,185.0
Kwame Brown,C,28.0,66.0,1714.0,194.0,375.0,0.517,0.0,0.0,0.0,194.0,375.0,0.517,0.517,136.0,231.0,0.589,147.0,303.0,450.0,43.0,26.0,39.0,69.0,174.0,524.0
Shannon Brown,SG,25.0,82.0,1568.0,273.0,643.0,0.425,74.0,212.0,0.349,199.0,431.0,0.462,0.482,92.0,101.0,0.911,35.0,122.0,157.0,96.0,67.0,16.0,75.0,124.0,712.0
Kobe Bryant,SG,32.0,82.0,2779.0,740.0,1639.0,0.451,115.0,356.0,0.323,625.0,1283.0,0.487,0.487,483.0,583.0,0.828,83.0,336.0,419.0,388.0,99.0,12.0,243.0,172.0,2078.0
Chase Budinger,SF,22.0,78.0,1738.0,279.0,656.0,0.425,89.0,274.0,0.325,190.0,382.0,0.497,0.493,118.0,138.0,0.855,52.0,229.0,281.0,127.0,41.0,18.0,67.0,114.0,765.0
Caron Butler,SF,30.0,29.0,867.0,170.0,378.0,0.45,28.0,65.0,0.431,142.0,313.0,0.454,0.487,68.0,88.0,0.773,22.0,96.0,118.0,46.0,28.0,8.0,49.0,59.0,436.0
Rasual Butler,SG,31.0,47.0,770.0,79.0,237.0,0.333,46.0,136.0,0.338,33.0,101.0,0.327,0.43,18.0,27.0,0.667,10.0,67.0,77.0,27.0,8.0,15.0,24.0,37.0,222.0
Andrew Bynum,C,23.0,54.0,1500.0,237.0,413.0,0.574,0.0,0.0,0.0,237.0,413.0,0.574,0.574,138.0,209.0,0.66,170.0,338.0,508.0,73.0,19.0,106.0,74.0,140.0,612.0
Will Bynum,PG,28.0,61.0,1125.0,182.0,406.0,0.448,16.0,50.0,0.32,166.0,356.0,0.466,0.468,102.0,122.0,0.836,15.0,59.0,74.0,195.0,52.0,4.0,83.0,113.0,482.0
José Calderón,PG,29.0,68.0,2102.0,262.0,596.0,0.44,57.0,156.0,0.365,205.0,440.0,0.466,0.487,88.0,103.0,0.854,30.0,172.0,202.0,605.0,81.0,7.0,148.0,143.0,669.0
Marcus Camby,C,36.0,59.0,1540.0,117.0,294.0,0.398,0.0,1.0,0.0,117.0,293.0,0.399,0.398,43.0,70.0,0.614,182.0,424.0,606.0,121.0,40.0,92.0,62.0,140.0,277.0
Derrick Caracter,C,22.0,41.0,215.0,32.0,66.0,0.485,0.0,0.0,0.0,32.0,66.0,0.485,0.485,17.0,23.0,0.739,19.0,24.0,43.0,7.0,4.0,10.0,19.0,47.0,81.0
Brian Cardinal,SF,33.0,56.0,618.0,43.0,100.0,0.43,42.0,87.0,0.483,1.0,13.0,0.077,0.64,17.0,18.0,0.944,10.0,49.0,59.0,40.0,24.0,7.0,17.0,82.0,145.0
Rodney Carney,SF,26.0,27.0,336.0,46.0,110.0,0.418,17.0,38.0,0.447,29.0,72.0,0.403,0.495,18.0,27.0,0.667,13.0,35.0,48.0,11.0,12.0,5.0,16.0,33.0,127.0
DeMarre Carroll,PF,24.0,12.0,50.0,4.0,12.0,0.333,0.0,0.0,0.0,4.0,12.0,0.333,0.333,2.0,2.0,1.0,2.0,6.0,8.0,4.0,1.0,1.0,0.0,5.0,10.0
Matt Carroll,SG,30.0,54.0,582.0,89.0,199.0,0.447,17.0,46.0,0.37,72.0,153.0,0.471,0.49,40.0,52.0,0.769,12.0,56.0,68.0,23.0,17.0,6.0,23.0,43.0,235.0
Anthony Carter,PG,35.0,33.0,463.0,45.0,106.0,0.425,12.0,40.0,0.3,33.0,66.0,0.5,0.481,8.0,8.0,1.0,7.0,44.0,51.0,69.0,27.0,6.0,39.0,49.0,110.0
Vince Carter,SG,34.0,73.0,2051.0,389.0,891.0,0.437,116.0,321.0,0.361,273.0,570.0,0.479,0.502,128.0,173.0,0.74,54.0,221.0,275.0,146.0,67.0,20.0,90.0,193.0,1022.0
Omri Casspi,SF,22.0,71.0,1702.0,225.0,546.0,0.412,92.0,247.0,0.372,133.0,299.0,0.445,0.496,68.0,101.0,0.673,74.0,233.0,307.0,74.0,54.0,13.0,68.0,115.0,610.0
Mario Chalmers,PG,24.0,70.0,1579.0,155.0,388.0,0.399,83.0,231.0,0.359,72.0,157.0,0.459,0.506,54.0,62.0,0.871,12.0,134.0,146.0,177.0,76.0,7.0,91.0,158.0,447.0
Tyson Chandler,C,28.0,74.0,2059.0,266.0,407.0,0.654,0.0,0.0,0.0,266.0,407.0,0.654,0.654,216.0,295.0,0.732,206.0,486.0,692.0,32.0,36.0,80.0,88.0,240.0,748.0
Wilson Chandler,SF,23.0,72.0,2401.0,429.0,953.0,0.45,112.0,320.0,0.35,317.0,633.0,0.501,0.509,130.0,161.0,0.807,75.0,333.0,408.0,120.0,48.0,94.0,104.0,199.0,1100.0
Josh Childress,SG,27.0,54.0,894.0,121.0,214.0,0.565,1.0,16.0,0.063,120.0,198.0,0.606,0.568,29.0,59.0,0.492,69.0,86.0,155.0,42.0,33.0,23.0,44.0,68.0,272.0
Earl Clark,SF,23.0,42.0,464.0,68.0,158.0,0.43,0.0,5.0,0.0,68.0,153.0,0.444,0.43,27.0,47.0,0.574,37.0,64.0,101.0,9.0,8.0,18.0,28.0,45.0,163.0
Jarron Collins,C,32.0,28.0,181.0,6.0,21.0,0.286,0.0,0.0,0.0,6.0,21.0,0.286,0.286,7.0,10.0,0.7,14.0,10.0,24.0,2.0,4.0,1.0,7.0,29.0,19.0
Jason Collins,C,32.0,49.0,593.0,34.0,71.0,0.479,1.0,1.0,1.0,33.0,70.0,0.471,0.486,27.0,41.0,0.659,30.0,72.0,102.0,22.0,9.0,9.0,26.0,97.0,96.0
Sherron Collins,PG,23.0,20.0,66.0,7.0,25.0,0.28,2.0,10.0,0.2,5.0,15.0,0.333,0.32,1.0,1.0,1.0,0.0,5.0,5.0,8.0,2.0,0.0,4.0,2.0,17.0
Darren Collison,PG,23.0,79.0,2360.0,398.0,870.0,0.457,41.0,124.0,0.331,357.0,746.0,0.479,0.481,202.0,232.0,0.871,40.0,185.0,225.0,403.0,87.0,14.0,194.0,109.0,1039.0
Nick Collison,C,30.0,71.0,1524.0,137.0,242.0,0.566,0.0,0.0,0.0,137.0,242.0,0.566,0.566,55.0,73.0,0.753,119.0,197.0,316.0,69.0,42.0,31.0,55.0,210.0,329.0
Mike Conley,PG,23.0,81.0,2872.0,423.0,953.0,0.444,80.0,217.0,0.369,343.0,736.0,0.466,0.486,181.0,247.0,0.733,32.0,215.0,247.0,528.0,144.0,18.0,176.0,182.0,1107.0
Brian Cook,PF,30.0,40.0,447.0,72.0,170.0,0.424,34.0,79.0,0.43,38.0,91.0,0.418,0.524,15.0,24.0,0.625,19.0,77.0,96.0,15.0,12.0,11.0,25.0,75.0,193.0
Daequan Cook,SG,23.0,43.0,598.0,79.0,181.0,0.436,65.0,154.0,0.422,14.0,27.0,0.519,0.616,16.0,20.0,0.8,8.0,64.0,72.0,20.0,14.0,1.0,17.0,51.0,239.0
Marcus Cousin,C,24.0,4.0,18.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,0.667,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0
DeMarcus Cousins,C,20.0,81.0,2309.0,432.0,1004.0,0.43,3.0,18.0,0.167,429.0,986.0,0.435,0.432,276.0,402.0,0.687,217.0,482.0,699.0,204.0,85.0,68.0,268.0,332.0,1143.0
Jamal Crawford,SG,30.0,76.0,2297.0,368.0,874.0,0.421,119.0,349.0,0.341,249.0,525.0,0.474,0.489,222.0,260.0,0.854,22.0,108.0,130.0,241.0,57.0,14.0,145.0,97.0,1077.0
Jordan Crawford,SG,22.0,42.0,1027.0,192.0,500.0,0.384,33.0,128.0,0.258,159.0,372.0,0.427,0.417,73.0,84.0,0.869,31.0,74.0,105.0,117.0,39.0,3.0,83.0,63.0,490.0
Dante Cunningham,PF,23.0,78.0,1637.0,218.0,472.0,0.462,1.0,13.0,0.077,217.0,459.0,0.473,0.463,45.0,62.0,0.726,96.0,181.0,277.0,43.0,54.0,43.0,51.0,177.0,482.0
Stephen Curry,PG,22.0,74.0,2489.0,505.0,1053.0,0.48,151.0,342.0,0.442,354.0,711.0,0.498,0.551,212.0,227.0,0.934,52.0,234.0,286.0,432.0,109.0,20.0,226.0,233.0,1373.0
Samuel Dalembert,C,29.0,80.0,1938.0,268.0,567.0,0.473,0.0,2.0,0.0,268.0,565.0,0.474,0.473,108.0,148.0,0.73,212.0,445.0,657.0,67.0,36.0,116.0,132.0,225.0,644.0
Erick Dampier,C,35.0,51.0,815.0,52.0,89.0,0.584,0.0,1.0,0.0,52.0,88.0,0.591,0.584,24.0,44.0,0.545,53.0,124.0,177.0,22.0,14.0,47.0,32.0,82.0,128.0
Antonio Daniels,PG,35.0,4.0,35.0,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0,6.0
Marquis Daniels,SF,30.0,49.0,938.0,114.0,232.0,0.491,4.0,21.0,0.19,110.0,211.0,0.521,0.5,39.0,57.0,0.684,24.0,89.0,113.0,64.0,39.0,22.0,38.0,63.0,271.0
Baron Davis,PG,31.0,58.0,1649.0,289.0,693.0,0.417,81.0,239.0,0.339,208.0,454.0,0.458,0.475,101.0,131.0,0.771,35.0,121.0,156.0,391.0,78.0,28.0,146.0,143.0,760.0
Ed Davis,PF,21.0,65.0,1602.0,215.0,373.0,0.576,0.0,0.0,0.0,215.0,373.0,0.576,0.576,71.0,128.0,0.555,168.0,294.0,462.0,40.0,39.0,67.0,48.0,183.0,501.0
Glen Davis,C,25.0,78.0,2298.0,359.0,801.0,0.448,2.0,15.0,0.133,357.0,786.0,0.454,0.449,195.0,265.0,0.736,101.0,324.0,425.0,92.0,78.0,30.0,85.0,231.0,915.0
Austin Daye,SF,22.0,72.0,1446.0,193.0,471.0,0.41,69.0,172.0,0.401,124.0,299.0,0.415,0.483,82.0,108.0,0.759,64.0,210.0,274.0,78.0,39.0,39.0,59.0,165.0,537.0
Carlos Delfino,SF,28.0,49.0,1590.0,200.0,513.0,0.39,105.0,284.0,0.37,95.0,229.0,0.415,0.492,60.0,75.0,0.8,24.0,176.0,200.0,112.0,76.0,8.0,57.0,72.0,565.0
Luol Deng,SF,25.0,82.0,3208.0,531.0,1155.0,0.46,115.0,333.0,0.345,416.0,822.0,0.506,0.51,253.0,336.0,0.753,116.0,360.0,476.0,230.0,78.0,48.0,156.0,162.0,1430.0
DeMar DeRozan,SG,21.0,82.0,2851.0,539.0,1154.0,0.467,5.0,52.0,0.096,534.0,1102.0,0.485,0.469,327.0,402.0,0.813,75.0,240.0,315.0,148.0,85.0,31.0,144.0,217.0,1410.0
Boris Diaw,PF,28.0,82.0,2778.0,381.0,774.0,0.492,78.0,226.0,0.345,303.0,548.0,0.553,0.543,84.0,123.0,0.683,105.0,309.0,414.0,337.0,74.0,46.0,166.0,190.0,924.0
Ike Diogu,PF,27.0,36.0,470.0,83.0,148.0,0.561,0.0,0.0,0.0,83.0,148.0,0.561,0.561,41.0,62.0,0.661,41.0,74.0,115.0,2.0,3.0,3.0,22.0,72.0,207.0
DeSagana Diop,C,29.0,16.0,181.0,8.0,24.0,0.333,0.0,0.0,0.0,8.0,24.0,0.333,0.333,4.0,11.0,0.364,12.0,28.0,40.0,7.0,4.0,15.0,11.0,26.0,20.0
Keyon Dooling,PG,30.0,80.0,1757.0,206.0,519.0,0.397,81.0,234.0,0.346,125.0,285.0,0.439,0.475,78.0,94.0,0.83,12.0,105.0,117.0,243.0,54.0,4.0,91.0,119.0,571.0
Joey Dorsey,C,27.0,43.0,522.0,52.0,99.0,0.525,0.0,0.0,0.0,52.0,99.0,0.525,0.525,31.0,65.0,0.477,79.0,111.0,190.0,27.0,24.0,17.0,39.0,78.0,135.0
Toney Douglas,SG,24.0,81.0,1971.0,314.0,755.0,0.416,143.0,383.0,0.373,171.0,372.0,0.46,0.511,85.0,107.0,0.794,65.0,179.0,244.0,244.0,89.0,4.0,89.0,177.0,856.0
Chris Douglas-Roberts,SF,24.0,44.0,884.0,117.0,273.0,0.429,15.0,46.0,0.326,102.0,227.0,0.449,0.456,74.0,89.0,0.831,7.0,81.0,88.0,50.0,29.0,13.0,35.0,73.0,323.0
Zabian Dowdell,PG,26.0,24.0,292.0,51.0,125.0,0.408,3.0,10.0,0.3,48.0,115.0,0.417,0.42,16.0,17.0,0.941,5.0,15.0,20.0,51.0,20.0,2.0,29.0,30.0,121.0
Goran Dragić,PG,24.0,70.0,1234.0,192.0,441.0,0.435,56.0,155.0,0.361,136.0,286.0,0.476,0.499,83.0,133.0,0.624,36.0,106.0,142.0,204.0,50.0,10.0,117.0,125.0,523.0
Jared Dudley,SF,25.0,82.0,2140.0,300.0,629.0,0.477,105.0,253.0,0.415,195.0,376.0,0.519,0.56,162.0,218.0,0.743,111.0,207.0,318.0,108.0,87.0,20.0,77.0,139.0,867.0
